Word,Conversions,Hops
BOB,BOB BOY BOX BOT BOS BOG,6
BOB,BOB BOY BOX BOT BOS BOG BUB BIB BAB SOB ROB NOB MOB,13
BOB,BOB BOY BOX BOT BOS BOG BUB BIB BAB SOB ROB NOB MOB LOB JOB HOB GOB,17
BOB,BOB BOY BOX BOT BOS BOG BUB BIB BAB SOB ROB NOB MOB LOB JOB,15
BOB,BOB BOY BOX BOT BOS BOG BUB BIB BAB SOB ROB NOB MOB LOB JOB HOB GOB FOB,18
BOB,BOB BOY,2
BOB,BOB BOY BOX BOT,4
BOB,BOB BOY BOX BOT BOS BOG BUB BIB BAB SOB ROB NOB,12
BOB,BOB BOY BOX BOT BOS BOG BUB,7
BOB,BOB BOY BOX BOT BOS BOG BUB BIB BAB SOB ROB NOB MOB LOB JOB HOB GOB FOB COB,19
BOB,BOB BOY BOX BOT BOS BOG BUB BIB BAB SOB ROB,11
BOB,BOB BOY BOX,3
BOB,BOB BOY BOX BOT BOS,5
BOB,BOB BOY BOX BOT BOS BOG BUB BIB BAB SOB ROB NOB MOB LOB JOB HOB,16
BOB,BOB BOY BOX BOT BOS BOG BUB BIB BAB SOB,10
BOB,BOB BOY BOX BOT BOS BOG BUB BIB BAB SOB ROB NOB MOB LOB,14
BOB,BOB BOY BOX BOT BOS BOG BUB BIB BAB,9
BOB,BOB BOY BOX BOT BOS BOG BUB BIB,8
BOG,BOG BOY BOX BOT BOS BUG BIG BEG BAG TOG NOG MOG LOG JOG,14
BOG,BOG BOY,2
BOG,BOG BOY BOX BOT,4
BOG,BOG BOY BOX BOT BOS BUG BIG BEG BAG TOG,10
BOG,BOG BOY BOX BOT BOS BUG BIG BEG BAG TOG NOG,11
BOG,BOG BOY BOX BOT BOS BUG,6
BOG,BOG BOY BOX BOT BOS BUG BIG BEG BAG TOG NOG MOG LOG JOG HOG GOG FOG DOG COG,19
BOG,BOG BOY BOX BOT BOS BUG BIG BEG BAG TOG NOG MOG,12
BOG,BOG BOY BOX BOT BOS BUG BIG BEG,8
BOG,BOG BOY BOX BOT BOS BUG BIG BEG BAG TOG NOG MOG LOG JOG HOG GOG FOG DOG,18
BOG,BOG BOY BOX,3
BOG,BOG BOY BOX BOT BOS,5
BOG,BOG BOY BOX BOT BOS BUG BIG BEG BAG TOG NOG MOG LOG JOG HOG,15
BOG,BOG BOY BOX BOT BOS BUG BIG BEG BAG TOG NOG MOG LOG,13
BOG,BOG BOY BOX BOT BOS BUG BIG BEG BAG,9
BOG,BOG BOY BOX BOT BOS BUG BIG,7
BOG,BOG BOY BOX BOT BOS BUG BIG BEG BAG TOG NOG MOG LOG JOG HOG GOG FOG,17
BOG,BOG BOY BOX BOT BOS BUG BIG BEG BAG TOG NOG MOG LOG JOG HOG GOG,16
CON,CON COX COW COT COR COP,6
CON,CON COX COW COT COR COP COO COL COG COD COB CUN CAN YON WON TON SON OON NON KON ION GON FON,23
CON,CON COX COW COT COR COP COO COL COG COD COB CUN,12
CON,CON COX COW COT COR COP COO COL COG COD COB CUN CAN YON WON,15
CON,CON COX COW COT COR COP COO COL COG COD COB CUN CAN YON WON TON SON OON NON,19
CON,CON COX COW COT COR,5
CON,CON COX COW COT,4
CON,CON COX COW,3
CON,CON COX,2
CON,CON COX COW COT COR COP COO COL COG COD COB,11
CON,CON COX COW COT COR COP COO COL COG COD,10
CON,CON COX COW COT COR COP COO COL COG,9
CON,CON COX COW COT COR COP COO COL,8
CON,CON COX COW COT COR COP COO,7
CON,CON COX COW COT COR COP COO COL COG COD COB CUN CAN YON WON TON SON OON NON KON ION GON,22
CON,CON COX COW COT COR COP COO COL COG COD COB CUN CAN YON WON TON SON OON NON KON ION GON FON DON,24
CON,CON COX COW COT COR COP COO COL COG COD COB CUN CAN YON WON TON SON OON,18
CON,CON COX COW COT COR COP COO COL COG COD COB CUN CAN YON WON TON SON OON NON KON,20
CON,CON COX COW COT COR COP COO COL COG COD COB CUN CAN,13
CON,CON COX COW COT COR COP COO COL COG COD COB CUN CAN YON WON TON SON,17
CON,CON COX COW COT COR COP COO COL COG COD COB CUN CAN YON,14
CON,CON COX COW COT COR COP COO COL COG COD COB CUN CAN YON WON TON,16
IL-,IL- ILL ILK ILE IS- IN- IM-,7
IL-,IL- ILL ILK ILE IS-,5
IL-,IL- ILL ILK ILE IS- IN-,6
IL-,IL- ILL,2
IL-,IL- ILL ILK ILE IS- IN- IM- AL-,8
IL-,IL- ILL ILK ILE,4
PYX,PYX PYE,2
PYX,PYX PYE POX PIX PAX,5
PYX,PYX PYE POX PIX,4
PYX,PYX PYE POX,3
YAF,YAF YAW YAP,3
YAF,YAF YAW,2
YAF,YAF YAW YAP YAM,4
YAF,YAF YAW YAP YAM YAK,5
YAF,YAF YAW YAP YAM YAK HAF,6
#NAME?,#NAME?,5
#NAME?,#NAME?,4
#NAME?,#NAME?,3
#NAME?,#NAME?,16
#NAME?,#NAME?,14
#NAME?,#NAME?,12
#NAME?,#NAME?,15
#NAME?,#NAME?,13
#NAME?,#NAME?,11
#NAME?,#NAME?,10
#NAME?,#NAME?,9
#NAME?,#NAME?,8
#NAME?,#NAME?,7
#NAME?,#NAME?,2
#NAME?,#NAME?,6
#NAME?,#NAME?,4
#NAME?,#NAME?,3
#NAME?,#NAME?,11
#NAME?,#NAME?,10
#NAME?,#NAME?,8
#NAME?,#NAME?,7
#NAME?,#NAME?,2
#NAME?,#NAME?,9
#NAME?,#NAME?,5
#NAME?,#NAME?,3
#NAME?,#NAME?,11
#NAME?,#NAME?,15
#NAME?,#NAME?,10
#NAME?,#NAME?,13
